Year,Which languages are you proficient in?,What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
2011,"Java, Python, C#, C++",United States of America,Illinois,25-29,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Blu-Ray, HDTV, Wii, Tivo",">$3,000",Stack Overflow
2011,nan,United Kingdom,,20-24,41310,Software Products,,,,nan,nan,nan,,,,,nan,,
2011,"Java, JavaScript, CSS, PHP, Python, SQL, C",Germany,,25-29,11,Other,Student,Embedded Application Developer,Unless it's stoopid it gets done,"nan, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Linux,I'm not happy in my job,Student / Unemployed,"nan, Android, Other Smart Phone, Blu-Ray, HDTV, Other netbook","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C",Africa,,25-29,41435,Other,Mature Small Business (25-100),Other,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Other","nan, Don't know",Mobile,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other Smart Phone, PS3","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, CFML",Other Europe,,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Other Smart Phone, Laptop, PocketBook Reader",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#, coldfusion",Netherlands,,20-24,<2,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Windows XP,It pays the bills,"$20,000 - $40,000","nan, Android, PS3",$251-$500,Stack Overflow
2011,"nan, JavaScript, C#",France,,25-29,41435,Other,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, >$150,000",Enterprise,Windows XP,I enjoy going to work,,"nan, Regular Mobile Phone",<$100,Stack Overflow
2011,nan,United States of America,Oklahoma,40-50,11,Other,Mid Sized (100-999),Server Programmer,It's been known to happen,Influencer,nan,nan,,,,,nan,,
2011,"Java, SQL, C#, C++, C",United States of America,New Hampshire,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Android, Blu-Ray, HDTV, Xbox","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United Kingdom,,35-39,11,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, Don't know",Web Platform,Windows XP,It pays the bills,"$40,000 - $60,000","nan, Android, Blu-Ray, HDTV, Other netbook, PS3, Xbox, Wii","$2,001-$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL",United Kingdom,,25-29,41435,Software Products,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows Vista,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, Wii",$251-$500,Stack Overflow
2011,"nan, SQL, C++, C, Perl",Middle East,,25-29,41435,Other,Mid Sized (100-999),Kernel / Driver Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,Linux,I enjoy going to work,"$80,000 - $100,000","nan, Other Smart Phone, PS3, Other gaming system",$100-$250,Stack Overflow
2011,"nan, SQL, R; VBA",Other Europe,,30-34,41435,Other,Mid Sized (100-999),Other,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, Regular Mobile Phone, HDTV, Xbox","$2,001-$3,000",Super User
2011,Java,Other Europe,,25-29,41310,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows XP,It pays the bills,,"nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"nan, SQL, Object Pascal",Other Europe,,30-34,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,,nan,,
2011,"nan, C#, VB.NET, VB6, VBA",Africa,,20-24,41435,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser","nan, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Enterprise,Windows 7,It pays the bills,"<$20,000","nan, Other Smart Phone, Regular Mobile Phone",$251-$500,Stack Overflow
2011,"nan, Ruby, SQL, C#, Perl",United Kingdom,,30-34,41435,Web Services,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Other netbook, Wii","$501-$1,000",Stack Overflow
2011,nan,Africa,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, CSS",Other Europe,,35-39,41310,Finance / Banking,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows XP,I enjoy going to work,"$80,000 - $100,000",iPhone,"$1,001-$2,000",Super User
2011,"Java, PHP, Python, C#, C++, C",United Kingdom,,20-24,41310,Education,Student,Student,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Mac OS X,I enjoy going to work,Student / Unemployed,"iPhone, Wii",$251-$500,Other
2011,"nan, JavaScript, CSS, Python, Perl",Germany,,25-29,41310,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Kindle","$1,001-$2,000",Stack Overflow
2011,"nan, C#, C",United Kingdom,,30-34,11,Consulting,"Fortune 1000 (1,000+)",Other,It's been known to happen,"Influencer, Recommender","nan, Servers, Software","<$10,000",Enterprise,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Blu-Ray, HDTV, PS3, Wii","$1,001-$2,000",Stack Overflow
2011,"Java, CSS, PHP",Australia,,20-24,41435,Retail,"Fortune 1000 (1,000+)",Student,It's been known to happen,"nan, No Involvement, I'm a Seller",nan,nan,Other,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, Other netbook, Xbox, Wii",">$3,000",Stack Overflow
2011,"nan, SQL, C#",Africa,,25-29,41310,Finance / Banking,Mid Sized (100-999),Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone, HDTV, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#",Netherlands,,20-24,11,Web Services,Student,Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Other,Linux,It pays the bills,Student / Unemployed,"nan, Android",<$100,Stack Overflow
2011,nan,Other Europe,,25-29,41310,Other,,,,nan,nan,nan,,,,,nan,,
2011,"Java, PHP, Python, SQL, C++, C, Perl",United States of America,California,25-29,41435,Web Services,Mid Sized (100-999),Student,It's been known to happen,"nan, Recommender","Hardware, Software, Consultants","nan, Don't know",Web Platform,Mac OS X,It pays the bills,"$100,000 - $120,000","iPhone, Android, Blu-Ray, HDTV, PS3","$501-$1,000",Stack Overflow
2011,"nan, PHP, SQL, C++, C",United States of America,Michigan,30-34,11,Consulting,Start Up (1-25),Embedded Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, No Involvement, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Mobile,Windows 7,It pays the bills,"$20,000 - $40,000","iPhone, Blu-Ray, iPad, Other netbook, Wii","$1,001-$2,000",Meta Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, VB.NET",United States of America,California,35-39,11,Software Products,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Web Platform,Mac OS X,So happy it hurts,">$140,000","iPhone, Blu-Ray, HDTV, iPad, Wii",">$3,000",Stack Overflow
2011,nan,United States of America,Washington,25-29,41435,Consulting,Start Up (1-25),Systems Analyst,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, I'm a Seller","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",,,,,nan,,
2011,"nan, CSS, PHP, SQL",United States of America,Pennsylvania,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,Windows 7,I enjoy going to work,"$20,000 - $40,000",nan,<$100,Stack Overflow
2011,"nan, SQL, C, Perl",United States of America,California,40-50,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Mac OS X,I enjoy going to work,">$140,000","nan, Blackberry, Blu-Ray","$501-$1,000",Stack Overflow
2011,"nan, Python, C++, C, Perl, Maple bash",Russia,,30-34,11,Foundation / Non-Profit,Start Up (1-25),Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Linux,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, PC notebook",">$3,000",Stack Overflow
2011,"nan, JavaScript, PHP, SQL, C, Perl",United States of America,California,35-39,11,Web Services,Mature Small Business (25-100),Systems Analyst,Unless it's stoopid it gets done,Influencer,"nan, Software, Consultants","nan, Don't know",SaaS,Linux,I enjoy going to work,">$140,000","nan, Regular Mobile Phone, Kindle, HDTV, Other netbook","$1,001-$2,000",Stack Overflow
2011,"Java, Python, C++, C",United States of America,Massachusetts,20-24,41435,Gaming,Mature Small Business (25-100),Other,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Windows 7,,,nan,,
2011,"nan, C#, C++, C",Italy,,20-24,41435,Manufacturing,"Other (not working, consultant, etc.)",Student,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Linux,I enjoy going to work,Student / Unemployed,"nan, Android, Blu-Ray","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, PHP, SQL, C++, C, Perl",Canada,,20-24,<2,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Linux,It pays the bills,"$40,000 - $60,000","nan, Android, Other netbook",<$100,Other
2011,"Java, C#, C",Other Asia,,25-29,41310,Finance / Banking,Mature Small Business (25-100),Server Programmer,Not in a million years,"nan, No Involvement",nan,nan,Enterprise,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C#",United States of America,Ohio,30-34,41435,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender, Approver","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Web Platform,Windows 7,So happy it hurts,"$40,000 - $60,000","nan, Android, HDTV, PS3, Xbox, Wii, Other gaming system, iPod Touch","$501-$1,000",Stack Overflow
2011,"Java, SQL, C#",United States of America,Illinois,40-50,11,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, Consultants","nan, $25,001 - $40,000",Enterprise,Windows XP,I enjoy going to work,"$120,000 - $140,000","nan, Kindle, HDTV, Other netbook, Xbox, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Texas,30-34,41435,Education,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, SQL, C#",United States of America,Nebraska,20-24,41310,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, $10,001 - $25,000",Enterprise,Windows 7,It pays the bills,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, Xbox","$2,001-$3,000",Stack Overflow
2011,"Java, SQL, C#",United States of America,Ohio,20-24,<2,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows 7,It pays the bills,"<$20,000","nan, Regular Mobile Phone, Xbox, Wii, Other gaming system",$251-$500,None
2011,nan,United Kingdom,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"Java, Python",United States of America,Massachusetts,20-24,41310,Education,Student,Student,Not in a million years,"nan, No Involvement",nan,nan,Other,Linux,I'm not happy in my job,Student / Unemployed,"iPhone, Kindle, Blu-Ray, HDTV, PS3",$251-$500,Stack Overflow
2011,"nan, C++, C",Middle East,,35-39,11,Consulting,"Other (not working, consultant, etc.)",Other,I run this place,"nan, Approver","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Windows XP,I enjoy going to work,,nan,<$100,Stack Overflow
2011,"nan, Python",Africa,,30-34,11,Software Products,Mid Sized (100-999),IT Staff / System Administrator,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",SaaS,Linux,So happy it hurts,"$40,000 - $60,000","nan, Android, HDTV, HTPC","$2,001-$3,000",Server Fault
2011,"Java, JavaScript, Python, C++, C, Perl",Italy,,35-39,11,Education,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Linux,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone, Other netbook",<$100,Stack Overflow
2011,"Java, C++, C",Other Europe,,25-29,41310,Other,"Fortune 1000 (1,000+)",Server Programmer,Once in a blue moon,"nan, No Involvement",nan,nan,Other,Windows Vista,I enjoy going to work,"$40,000 - $60,000","nan, Android, Wii",$100-$250,Stack Overflow
2011,"nan, Visual Dataflex",Other Europe,,35-39,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Other Smart Phone",<$100,Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL",United States of America,Illinois,20-24,41310,Education,Mid Sized (100-999),Student,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Windows Vista,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, Wii",$100-$250,Stack Overflow
2011,"Java, JavaScript, PHP, C",South America,,25-29,41310,Web Services,Start Up (1-25),IT Manager,Unless it's stoopid it gets done,"nan, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $100,001 - $150,000",SaaS,Linux,I enjoy going to work,"$40,000 - $60,000","nan, Blackberry, Other netbook, macbook pro",">$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C#, C++",United Kingdom,,25-29,11,Finance / Banking,Mid Sized (100-999),IT Staff / System Administrator,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad, PS3, Wii",">$3,000",Server Fault
2011,"nan, JavaScript, PHP, SQL, C#",United States of America,Washington,30-34,11,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Android, Regular Mobile Phone, Blu-Ray, HDTV, Xbox",">$3,000",Stack Overflow
2011,"nan, C++",Other Europe,,40-50,11,Consulting,Start Up (1-25),Desktop Application Developer,,"nan, Approver","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Mac OS X,I enjoy going to work,"<$20,000","iPhone, iPad, PS3",">$3,000",Stack Overflow
2011,nan,United States of America,California,,,,,,,nan,nan,nan,,,,,nan,,
